City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Suntar,RU,62.1444,117.6319,20.68,92,100,9.93,overcast clouds
243,Rio Claro,BR,-22.4114,-47.5614,65.75,76,71,1.97,broken clouds
244,Mangai,CD,-4.05,19.5333,68.49,100,100,1.9,light rain
245,Hasaki,JP,35.7333,140.8333,70.29,50,24,17.58,few clouds
246,Neya,RU,58.2972,43.8681,43.99,98,100,7.63,overcast clouds
247,Sept-Iles,CA,50.2001,-66.3821,34.23,69,100,6.91,overcast clouds
248,Manicore,BR,-5.8092,-61.3003,75.0,89,90,0.6,overcast clouds
249,Maldonado,UY,-34.6667,-54.9167,60.19,96,52,7.85,broken clouds
250,Sangar,RU,63.9242,127.4739,-5.37,91,100,8.77,overcast clouds
251,Kupino,RU,54.3663,77.2981,28.96,92,100,12.66,overcast clouds
252,Bilibino,RU,68.0546,166.4372,-2.79,98,100,0.94,overcast clouds
253,Honiara,SB,-9.4333,159.95,84.6,76,100,8.08,overcast clouds
254,Port-Gentil,GA,-0.7193,8.7815,76.17,91,100,7.7,heavy intensity rain
255,Pavelets,RU,53.7883,39.246,40.78,92,100,11.77,overcast clouds
256,Sistranda,NO,63.7256,8.834,42.76,84,97,10.16,overcast clouds
257,Axim,GH,4.8699,-2.2405,77.9,85,82,7.49,broken clouds
258,Nagapattinam,IN,10.7667,79.8333,79.56,81,71,12.3,broken clouds
259,Vinkovci,HR,45.2883,18.8047,48.15,93,90,4.61,overcast clouds
260,Arraial Do Cabo,BR,-22.9661,-42.0278,70.16,88,100,20.38,overcast clouds
261,Okato,NZ,-39.2,173.8833,73.18,71,12,35.99,few clouds
262,Lata,PT,40.1629,-8.3327,56.07,92,1,2.46,clear sky
263,Arlit,NE,18.7369,7.3853,70.65,19,0,7.63,clear sky
264,Ust-Nera,RU,64.5667,143.2,-18.85,97,61,4.76,broken clouds
265,Pemangkat,ID,1.1667,108.9667,84.04,69,93,4.9,overcast clouds
266,Te Anau,NZ,-45.4167,167.7167,65.17,36,1,2.71,clear sky
267,Pundaguitan,PH,6.3711,126.1689,83.19,73,100,7.4,overcast clouds
268,Byron Bay,AU,-28.65,153.6167,73.94,48,3,10.71,clear sky
269,Ust-Karsk,RU,52.7011,118.8077,24.75,59,21,2.1,few clouds
270,Makat,KZ,47.6469,53.3463,35.08,82,82,5.59,broken clouds
271,Dikson,RU,73.5069,80.5464,-4.23,100,33,11.48,scattered clouds
272,Owo,NG,7.1962,5.5868,70.81,92,4,2.06,clear sky
273,Colonia,DE,50.9333,6.95,52.86,80,49,6.17,scattered clouds
274,Vidim,RU,56.4088,103.1106,22.48,87,100,9.06,overcast clouds
275,Grand Baie,MU,-20.0182,57.5802,71.46,72,7,1.99,clear sky
276,Mandalgovi,MN,45.7625,106.2708,39.27,37,92,8.34,overcast clouds
277,Kenai,US,60.5544,-151.2583,35.15,92,75,13.8,broken clouds
278,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.22,70,31,1.97,scattered clouds
279,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,69,100,0.0,overcast clouds
280,Bandarbeyla,SO,9.4942,50.8122,80.11,75,27,12.3,light rain
281,Kuusamo,FI,65.9667,29.1833,30.24,100,100,5.75,overcast clouds
282,Yulara,AU,-25.2406,130.9889,91.24,17,24,6.29,few clouds
283,Nome,US,64.5011,-165.4064,32.07,74,40,0.0,scattered clouds
284,Kaitangata,NZ,-46.2817,169.8464,55.92,58,0,12.06,clear sky
285,Graaff-Reinet,ZA,-32.2522,24.5308,55.92,77,92,5.73,overcast clouds
286,Kalabo,ZM,-14.97,22.6814,67.15,89,92,3.0,overcast clouds
287,Talnakh,RU,69.4865,88.3972,2.21,99,100,7.74,overcast clouds
288,Juneau,US,58.3019,-134.4197,32.22,82,100,8.05,overcast clouds
289,Port Macquarie,AU,-31.4333,152.9167,71.89,47,1,9.37,clear sky
290,Todos Santos,MX,23.45,-110.2167,72.05,76,5,8.68,clear sky
291,Maymyo,MM,22.0333,96.4667,69.26,63,4,2.3,clear sky
292,Luanda,AO,-8.8368,13.2343,74.89,79,98,8.37,overcast clouds
293,Urucara,BR,-2.5364,-57.76,77.29,81,51,3.13,broken clouds
294,Kahului,US,20.8947,-156.47,84.22,58,40,16.11,scattered clouds
295,Tilichiki,RU,60.4667,166.1,8.47,91,16,5.35,few clouds
296,Parintins,BR,-2.6283,-56.7358,75.51,85,37,3.29,scattered clouds
297,Kusti,SD,13.1629,32.6635,72.55,25,4,10.11,clear sky
298,Kaeo,NZ,-35.1,173.7833,70.32,80,76,14.83,broken clouds
299,Puri,IN,19.8,85.85,73.92,62,40,8.95,scattered clouds
300,Payson,US,40.0444,-111.7321,36.59,76,0,6.91,clear sky
301,Luba,GQ,3.4568,8.5547,76.89,84,94,3.69,light rain
302,Onega,RU,63.9061,38.1404,33.26,82,100,4.43,overcast clouds
303,Shu,KZ,43.5983,73.7614,35.6,72,9,1.03,clear sky
304,Abay,KZ,49.6311,72.8539,25.18,92,99,9.46,overcast clouds
305,Jalu,LY,29.0331,21.5482,60.51,61,0,7.85,clear sky
306,Cherskiy,RU,68.75,161.3,-3.15,97,100,8.57,overcast clouds
307,Halifax,CA,44.6453,-63.5724,41.45,67,99,6.91,moderate rain
308,Geraldton,AU,-28.7667,114.6,70.21,60,75,11.5,broken clouds
309,Sawakin,SD,19.1059,37.3321,81.3,76,61,6.64,broken clouds
310,Sitka,US,57.0531,-135.33,39.09,60,100,13.8,light rain
311,Ihosy,MG,-22.4,46.1167,68.47,83,6,2.93,clear sky
