City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Lianzhou,CN,84.4,few clouds,24.7811,112.3825,Qingcheng Tourism Industry
198,Acarau,BR,77.86,overcast clouds,-2.8856,-40.12,castelo pizzaria
200,Zaria,NG,70.43,clear sky,11.1113,7.7227,A.B.U Hotels
208,Longhua,CN,84.83,clear sky,23.6137,114.1919,Huadu Hotel
209,Eydhafushi,MV,80.38,overcast clouds,5.1033,73.0708,Soneva Fushi
216,Sal Rei,CV,77.29,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
219,Kapit,MY,84.27,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
224,Rockport,US,78.82,scattered clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
225,Jalingo,NG,73.76,broken clouds,8.8833,11.3667,Debright Motel
233,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
237,Kirakira,SB,83.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
239,Jieshi,CN,76.39,clear sky,22.8134,115.8257,Yuehai Hotel
240,Beruwala,LK,77.47,overcast clouds,6.4788,79.9828,The Palms Hotel
245,Hasaki,JP,70.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
248,Manicore,BR,75.0,overcast clouds,-5.8092,-61.3003,Hotel Durval
253,Honiara,SB,84.6,overcast clouds,-9.4333,159.95,Heritage Park Hotel
254,Port-Gentil,GA,76.17,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
257,Axim,GH,77.9,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
258,Nagapattinam,IN,79.56,broken clouds,10.7667,79.8333,Sathya Lodge
260,Arraial Do Cabo,BR,70.16,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
261,Okato,NZ,73.18,few clouds,-39.2,173.8833,Goodin Country Garden
263,Arlit,NE,70.65,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
265,Pemangkat,ID,84.04,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
267,Pundaguitan,PH,83.19,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
268,Byron Bay,AU,73.94,clear sky,-28.65,153.6167,Backpackers Inn
272,Owo,NG,70.81,clear sky,7.1962,5.5868,The Chancery Hotel and Resort limited
275,Grand Baie,MU,71.46,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
278,Sao Raimundo Nonato,BR,75.22,scattered clouds,-9.0153,-42.6994,Real Hotel
280,Bandarbeyla,SO,80.11,light rain,9.4942,50.8122,JABIR HOTEL
289,Port Macquarie,AU,71.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
290,Todos Santos,MX,72.05,clear sky,23.45,-110.2167,Hotel California Todos Santos
292,Luanda,AO,74.89,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
293,Urucara,BR,77.29,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
294,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
296,Parintins,BR,75.51,scattered clouds,-2.6283,-56.7358,Cama e Cafe
297,Kusti,SD,72.55,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
298,Kaeo,NZ,70.32,broken clouds,-35.1,173.7833,Bushido Lodge
299,Puri,IN,73.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
301,Luba,GQ,76.89,light rain,3.4568,8.5547,
308,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
309,Sawakin,SD,81.3,broken clouds,19.1059,37.3321,فندق الدويم
312,Cabadiangan,PH,85.26,overcast clouds,9.7531,122.4739,Kipot
315,Lubao,PH,89.31,broken clouds,14.9167,120.55,Hacienda Gracia
316,Atambua,ID,86.02,broken clouds,-9.1061,124.8925,Ros Muskanan
317,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,Ruby Backpackers
321,Quatre Cocos,MU,71.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
325,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
326,Jacareacanga,BR,73.98,few clouds,-6.2222,-57.7528,Casa do Ian😎
327,Omboue,GA,75.4,heavy intensity rain,-1.5746,9.2618,Hotel Olako
329,Moussoro,TD,76.3,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
335,Pendencias,BR,75.06,overcast clouds,-5.26,-36.7222,Cabanas Pousada
341,High Rock,BS,77.74,light rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
344,Loikaw,MM,73.49,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
346,Soyo,AO,77.38,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
347,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
348,Uthal,PK,77.68,clear sky,25.8072,66.6219,Al-Mustafa Hotel
353,Mount Gambier,AU,72.5,overcast clouds,-37.8333,140.7667,The Commodore
356,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
363,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
364,Mecca,SA,74.75,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
